m a m p a	a_Consonants-bad		
m a n t a	a_Consonants-bad		
m a N k a	a_Consonants-bad		
m a m b a	a_Consonants-good		
m a n d a	a_Consonants-good		
m a N g a	a_Consonants-good		
m a n b a	a_Consonants-bad		
m a m d a	a_Consonants-bad		
m a t p a	a_Consonants-bad		
m a n g a	a_Consonants-bad		
u m a	a_Consonants-bad		
a a m a	a_Consonants-bad		
m a k	a_Consonants-bad		
m o m o m a	singleC_good	705	6.370734
m e m e m a	singleC_good	601	5.654277
m i m i m a	singleC_good	507	3.045542
m u m u m a	singleC_good	845	2.278214
m i m a m a	singleC_good	1220	1.912923
m u m a m a	singleC_good	1815	1.906579
m o m e m a	singleC_good	156	1.438388
m e m u m a	singleC_good	264	1.32961
m e m a m a	singleC_good	655	1.285292
m o m a m a	singleC_good	650	1.250037
m a m i m a	singleC_good	532	0.8341599
m u m i m a	singleC_good	180	0.7243854
m i m u m a	singleC_good	179	0.7203611
m a m a m a	singleC_good	1539	0.6298793
m a m u m a	singleC_good	587	0.6166182
m o m i m a	singleC_bMarginal	23	0.1694558
m o m u m a	singleC_bMarginal	20	9.87E-02
m e m i m a	singleC_bad	3	2.26E-02
m u m e m a	singleC_bad	4	0.0201456
m a m e m a	singleC_bad	3	5.89E-03
m u m o m a	singleC_bad	1	4.94E-03
m a m o m a	singleC_bad	1	1.92E-03
m e m o m a	singleC_bad	0	0
m i m e m a	singleC_bad	0	0
m i m o m a	singleC_bad	0	0
m o n d o m a	Cluster_good	705	6.370734
m e n d e m a	Cluster_good	601	5.654277
m i n d i m a	Cluster_good	507	3.045542
m u n d u m a	Cluster_good	845	2.278214
m i n d a m a	Cluster_good	1220	1.912923
m u n d a m a	Cluster_good	1815	1.906579
m o n d e m a	Cluster_good	156	1.438388
m e n d u m a	Cluster_good	264	1.32961
m e n d a m a	Cluster_good	655	1.285292
m o n d a m a	Cluster_good	650	1.250037
m a n d i m a	Cluster_good	532	0.8341599
m u n d i m a	Cluster_good	180	0.7243854
m i n d u m a	Cluster_good	179	0.7203611
m a n d a m a	Cluster_good	1539	0.6298793
m a n d u m a	Cluster_good	587	0.6166182
m o n d i m a	Cluster_bMarginal	23	0.1694558
m o n d u m a	Cluster_bMarginal	20	9.87E-02
m e n d i m a	Cluster_bad	3	2.26E-02
m u n d e m a	Cluster_bad	4	0.0201456
m a n d e m a	Cluster_bad	3	5.89E-03
m u n d o m a	Cluster_bad	1	4.94E-03
m a n d o m a	Cluster_bad	1	1.92E-03
m e n d o m a	Cluster_bad	0	0
m i n d e m a	Cluster_bad	0	0
m i n d o m a	Cluster_bad	0	0
ch o m b i r a	Real		
k i p u r a	Real
k i r a N g a	Real
k i y i n u k a	Real
k o b o d e dz a	Real
k o b o d e k a	Real
k o b o d e s a	Real
k o b o k a	Real
k o b o m a dz a	Real
k o b o n e dz a	Real
k o b o n o dz a	Real
k o b o n o r a	Real
k o b o r a	Real
k o b o r a	Real
k o b o r e r a	Real
k o bv o k a	Real
k o bv o r a	Real
k o ch e k e dz a	Real
k o ch e k e k a	Real
k o ch e k e r a	Real
k o ch o m o r a	Real
k o ch o n o k a	Real
k o ch o n o r a	Real
k o d a	Real
k o d o b a	Real
k o d o b o dz a	Real
k o d o b o k a	Real
k o d o b o r a	Real
k o d o bv o k a	Real
k o d o bv o r a	Real
k o d o dzv o r a	Real
k o dz a	Real
k o dz e k a	Real
k o dz e r a	Real
k o dz o N g a	Real
k o dzv a	Real
k o dzv a	Real
k o e h a n i dz a	Real
k o e h e dz a	Real
k o e h e k a	Real
k o e r a	Real
k o f o r a	Real
k o h o m e dz a	Real
k o h o n a	Real
k o h o n e r a	Real
k o h o n o k a	Real
k o h o r o dz a	Real
k o h o v e dz a	Real
k o h w a	Real
k o k a	Real
k o k a	Real
k o k e r a	Real
k o k e r a	Real
k o k o d a r a	Real
k o k o m a	Real
k o k o m a dz a	Real
k o k o m a r a	Real
k o k o m e r a	Real
k o k o m e r a	Real
k o k o n o k a	Real
k o k o n o r a	Real
k o k o n y a dz a	Real
k o k o n y a r a	Real
k o k o o n a	Real
k o k o pf o k a	Real
k o k o pf o r a	Real
k o k o r a	Real
k o k o r e r a	Real
k o k o r o dz a	Real
k o k o r o k a	Real
k o k o r o r a	Real
k o k o v a	Real
k o k o zh o r a	Real
k o m a dz a	Real
k o m b a	Real
k o m b a	Real
k o m b e r a	Real
k o m b e r e dz a	Real
k o m b e r e k a	Real
k o m b o dz a	Real
k o m b o k a	Real
k o m b o n o dz a	Real
k o m b o n o k a	Real
k o m b o n o r a	Real
k o m b o r a	Real
k o m b o r e r a	Real
k o m b o z a	Real
k o m b w e r a	Real
k o m b w e sh e dz a	Real
k o m b w e sh e r a	Real
k o m e k e dz a	Real
k o m e r a	Real
k o m h a	Real
k o m h o r a	Real
k o m o k a	Real
k o m o r a	Real
k o m o r a	Real
k o n a	Real
k o n a	Real
k o n a m a	Real
k o n d a	Real
k o n d a	Real
k o n d a m a	Real
k o n d e k a	Real
k o n d e k a	Real
k o n d e k a n a	Real
k o n d e k e r a	Real
k o n d o dz a	Real
k o n d o dz a	Real
k o n d o k a	Real
k o n d o m a dz a	Real
k o n d o m a r a	Real
k o n d o n o k a	Real
k o n d o r a	Real
k o n d o r o k a	Real
k o n e k w a	Real
k o N g o n y a dz a	Real
k o N g o n y a r a	Real
k o n h e r a	Real
k o n h o o n a	Real
k o n j a	Real
k o n o k a	Real
k o n o n a	Real
k o n o n d a	Real
k o n o N g o dz a	Real
k o n o N g o k a	Real
k o n o N g o r a	Real
k o n o o n a	Real
k o n o p e a	Real
k o n o r a	Real
k o n y a	Real
k o n y a	Real
k o n y o dz a	Real
k o n z a	Real
k o n z a	Real
k o n zv a	Real
k o o m e r a	Real
k o o r a	Real
k o p a	Real
k o p a	Real
k o p e dz a	Real
k o p e k a	Real
k o p e r a	Real
k o pf a w a	Real
k o pf o m a dz a	Real
k o pf o m a r a	Real
k o pf o r a	Real
k o p o k o dz a	Real
k o p o n o k a	Real
k o p o n o r a	Real
k o p o t a	Real
k o p o t e dz a	Real
k o p o t e k a	Real
k o r a	Real
k o r a n i dz a	Real
k o r a n i s a	Real
k o r e dz a	Real
k o r e k a	Real
k o r e k e dz a	Real
k o r e r a	Real
k o r e s a	Real
k o r o bh a	Real
k o r o f o k a	Real
k o r o k o d a	Real
k o r o k o dz a	Real
k o r o k o t a	Real
k o r o k o t e dz a	Real
k o r o m b w e dz a	Real
k o r o m o b a	Real
k o r o m o dz a	Real
k o r o m o k a	Real
k o r o m o r a	Real
k o r o n a	Real
k o r o n a	Real
k o r o N g o n y a	Real
k o r o n o k a	Real
k o r o n o r a	Real
k o r o n y e r a	Real
k o r o o r a	Real
k o r o p a	Real
k o r o r a	Real
k o r o r e dz a	Real
k o r o r e z a	Real
k o s a	Real
k o sh a	Real
k o sh a	Real
k o sh o m o r a	Real
k o sh o r a	Real
k o s o dz a	Real
k o s o r a	Real
k o sv o r a	Real
k o s w a	Real
k o t a	Real
k o t a	Real
k o t a n a	Real
k o t e k a	Real
k o t e k e r a	Real
k o t o k o dz a	Real
k o t o n o dz a	Real
k o t o n o t s a	Real
k o t o r a	Real
k o t o r o dz a	Real
k o t o r o dz a	Real
k o t o r o k a	Real
k o t o r o t s a	Real
k o t o s a	Real
k o t o t s a	Real
k o t s a	Real
k o t s a	Real
k o t s e k a	Real
k o t s o dz a	Real
k o t s o k a	Real
k o t s o m o r a	Real
k o t s o r a	Real
k o tsv a	Real
k o tsv a n a	Real
k o tsv a n i dz a	Real
k o tsv e r a	Real
k o t y o k a	Real
k o v a	Real
k o v e r e r a	Real
k o vh o r a	Real
k o v o dz a	Real
k o v o k a	Real
k o v o n a	Real
k o v o r a	Real
k o w a	Real
k o w a i r a	Real
k o zv a	Real
k u a N g a	Real
k u a n y u r a	Real
k u b a	Real
k u b i d i dz a	Real
k u b i d i k a	Real
k u b r u m u r a	Real
k u b u k a	Real
k u b u m u k a	Real
k u b u r a	Real
k u bv u k a	Real
k u bv u r a	Real
k u ch a	Real
k u ch u dz a	Real
k u ch u k a	Real
k u ch u k u ch a	Real
k u ch u k u dz a	Real
k u ch u r a	Real
k u d u b u dz a	Real
k u d u b u k a	Real
k u d u b u r a	Real
k u d u d a	Real
k u d u d i k a	Real
k u d u r a	Real
k u d y u r a	Real
k u dz i k a n a	Real
k u dz i r i dz a	Real
k u f u r a	Real
k u h u m a	Real
k u h u m u r a	Real
k u h u n a	Real
k u h w a	Real
k u h w i dz a	Real
k u k a	Real
k u k u a n d a	Real
k u k u dz i r a	Real
k u k u m a	Real
k u k u m b a	Real
k u k u m i dz a	Real
k u k u m u k a	Real
k u k u m u r a	Real
k u k u m u s a	Real
k u k u m u t s a	Real
k u k u n h a	Real
k u k u r i dz a	Real
k u k u r i k a	Real
k u k u r u dz a	Real
k u k u r u k a	Real
k u k u r u k a	Real
k u k u r u t s a	Real
k u k u v a r a	Real
k u k u zv a	Real
k u m a	Real
k u m a	Real
k u m a i r a	Real
k u m a n a	Real
k u m a n i dz a	Real
k u m b a	Real
k u m b a m i z a	Real
k u m b a n a	Real
k u m b a t a	Real
k u m b i dz a	Real
k u m b i r a	Real
k u m b u sh i k a	Real
k u m b u sh u dz a	Real
k u m b u sh u r a	Real
k u m h a i k a	Real
k u m h a i r a	Real
k u m h i n a	Real
k u m i k a	Real
k u m i k i dz a	Real
k u m i n a	Real
k u m i r a	Real
k u m u r a	Real
k u m w a i dz a	Real
k u m w a i r a	Real
k u n a	Real
k u n a i dz a	Real
k u n a i k a	Real
k u n a r a	Real
k u n d a	Real
k u n d a	Real
k u n d u k a	Real
k u n d u k a	Real
k u n d u k i r a	Real
k u n d u m u k a	Real
k u n d u n d a	Real
k u n d u n d u dz a	Real
k u n d u n u k a	Real
k u n d u r a	Real
k u n d u r a	Real
k u N g a	Real
k u N g u dz a	Real
k u N g u m a dz a	Real
k u N g u n d a r a	Real
k u N g u n d u r a	Real
k u N g u n j a r a	Real
k u N g u n s a r a	Real
k u N g u n u dz a	Real
k u N g u n u k a	Real
k u N g u n u r a	Real
k u N g u n y a r a	Real
k u N g u r a	Real
k u N g u r u s a	Real
k u N g u r u t s a	Real
k u N g u zh u r a	Real
k u n h a	Real
k u n i k a	Real
k u n j a i r a	Real
k u n j a m a	Real
k u n s u n a	Real
k u n u n b i r a	Real
k u n u n d a	Real
k u n u n d i k a	Real
k u n u n d u k a	Real
k u n u N g u k a	Real
k u n u N g u r a	Real
k u n u n i dz a	Real
k u n y a	Real
k u n y a	Real
k u n y a i dz a	Real
k u n y a i r a	Real
k u n y a m b u k a	Real
k u n y u N g a dz a	Real
k u n zv a i dz a	Real
k u n zv a i r a	Real
k u n zv u r a	Real
k u p a	Real
k u p a r a	Real
k u pf u dz a	Real
k u pf u r a	Real
k u p i dz i r a	Real
k u p u dz a	Real
k u p u k a	Real
k u p u k a	Real
k u p u r a	Real
k u p u s a	Real
k u p u t s a	Real
k u p u t y u dz a	Real
k u p u t y u k a	Real
k u p u t y u r a	Real
k u r i dz i r a	Real
k u r i r a	Real
k u r u dz a	Real
k u r u dz i r a	Real
k u r u k u dz a	Real
k u r u k u r a	Real
k u r u k u sh a	Real
k u r u k u t a	Real
k u r u m b i dz a	Real
k u r u m u k a	Real
k u r u m u r a	Real
k u r u n d a	Real
k u r u n d u n d a	Real
k u r u n d u n d i k a	Real
k u r u n d u n d u dz a	Real
k u r u N g a	Real
k u r u N g u dz a	Real
k u r u r i r a	Real
k u r u r u dz a	Real
k u r u s i r a	Real
k u r u u n d a	Real
k u r u u n u t s a	Real
k u r u z a	Real
k u r u z i r a	Real
k u s a	Real
k u sh a	Real
k u sh a	Real
k u sh i dz i r a	Real
k u sh u dz a	Real
k u s i r a	Real
k u sv a dz i r a	Real
k u sv a m a	Real
k u t a	Real
k u t a	Real
k u t a	Real
k u t a r a	Real
k u t i dz a	Real
k u t s a	Real
k u t s u n y a	Real
k u t u dz a	Real
k u t u dz a	Real
k u t u k a	Real
k u t u k u dz a	Real
k u t u k u dz a	Real
k u t u k u r a	Real
k u t u n a k a	Real
k u t u n u dz a	Real
k u t u n u r a	Real
k u t u r a	Real
k u t u t a	Real
k u t u z a	Real
k u u k a	Real
k u u k a	Real
k u u m u dz a	Real
k u u m u k a	Real
k u u m u r a	Real
k u u m u t s a	Real
k u u n y u k a	Real
k u u n y u t s a	Real
k u u r a	Real
k u u r i r a	Real
k u v a	Real
k u v a dz a	Real
k u v a r a	Real
k u v i r a	Real
k u v u a g u r a	Real
k u y a	Real
k u z a	Real
k u zh a	Real
k u zh a	Real
k u zh u k a	Real
k u zh u r a	Real
k u zv a	Real
k u zv u k a	Real
k u zv u r a	Real
k w a b a d i k a	Real
k w a b u k a	Real
k w a b u k a	Real
k w a b u r a	Real
k w a b u r a	Real
k w a bv a u k a	Real
k w a bv u k a	Real
k w a bv u r a	Real
k w a b w a d i dz a	Real
k w a b w a d i k a	Real
k w a ch a	Real
k w a ch a m u r a	Real
k w a ch a n u dz a	Real
k w a ch a n u k a	Real
k w a ch a n u r a	Real
k w a ch a r i dz a	Real
k w a ch a r i k a	Real
k w a ch a u dz a	Real
k w a ch a u k a	Real
k w a ch a u r a	Real
k w a ch u dz a	Real
k w a ch u k a	Real
k w a ch u r a	Real
k w a ch u r a	Real
k w a d a b a dz a	Real
k w a d a b a r a	Real
k w a d a b u k a	Real
k w a d a s a	Real
k w a d a y a	Real
k w a dz a	Real
k w a dz a n a	Real
k w a dz u r a	Real
k w a h a dz a	Real
k w a h a m u dz a	Real
k w a h a m u k a	Real
k w a h a m u r a	Real
k w a h w a m u dz a	Real
k w a i dz a	Real
k w a i k a	Real
k w a k a i dz a	Real
k w a k a i k a	Real
k w a k a m u dz a	Real
k w a k a m u k a	Real
k w a k a m u r a	Real
k w a k u dz a	Real
k w a k u k a	Real
k w a k u r a	Real
k w a k u r a	Real
k w a k u t s a	Real
k w a k w a bv u dz a	Real
k w a k w a bv u k a	Real
k w a k w a bv u r a	Real
k w a k w a ch u dz a	Real
k w a k w a ch u r a	Real
k w a k w a dz a	Real
k w a k w a m u k a	Real
k w a k w a m u r a	Real
k w a k w a n u dz a	Real
k w a k w a n u k a	Real
k w a k w a n u r a	Real
k w a k w a r i k a	Real
k w a k w a r i t s a	Real
k w a k w a sh a r a	Real
k w a k w a sh i dz a	Real
k w a k w a sh i k a	Real
k w a k w a t a	Real
k w a k w a t i dz a	Real
k w a k w a t i k a	Real
k w a k w a t i r a	Real
k w a k w a t i s a	Real
k w a m a	Real
k w a m a	Real
k w a m a dz a	Real
k w a m b a n d i dz a	Real
k w a m i r a	Real
k w a m u k a	Real
k w a m u k a	Real
k w a m u r a	Real
k w a n a	Real
k w a N g u dz a	Real
k w a N g u k a	Real
k w a N g u r a	Real
k w a N g w a m a dz a	Real
k w a N g w a m a r a	Real
k w a N g w a m u dz a	Real
k w a N g w a m u k a	Real
k w a N g w a m u r a	Real
k w a N g w a n d i k a	Real
k w a N g w a n d i k a	Real
k w a N g w a r i dz a	Real
k w a N g w a r i k a	Real
k w a N g w a v a dz a	Real
k w a N g w a v a r a	Real
k w a N g w a y a	Real
k w a N g w a zh i k a	Real
k w a n h a	Real
k w a n h u dz a	Real
k w a n h u k a	Real
k w a n h u r a	Real
k w a n y a n d u k a	Real
k w a n y a n u dz a	Real
k w a n y a n u k a	Real
k w a n y a n u r a	Real
k w a n y i r a	Real
k w a n z u dz a	Real
k w a n z u k a	Real
k w a n z u r a	Real
k w a n zv u dz a	Real
k w a n zv u k a	Real
k w a n zv u r a	Real
k w a p a	Real
k w a p i dz a	Real
k w a p u k a	Real
k w a p u r a	Real
k w a r a	Real
k w a r a	Real
k w a r a	Real
k w a r a bv u k a	Real
k w a r a bv u r a	Real
k w a r a dz u r a	Real
k w a r a k w a dz a	Real
k w a r a k w a r a	Real
k w a r a k w a sh a	Real
k w a r a k w a sh u dz a	Real
k w a r a k w a t a	Real
k w a r a k w a t a	Real
k w a r a m a	Real
k w a r a n z u r a	Real
k w a r a u dz a	Real
k w a r a u k a	Real
k w a r a u r a	Real
k w a r i m a	Real
k w a r i m b i dz a	Real
k w a sh a	Real
k w a sh a	Real
k w a sh a m u k a	Real
k w a sh a m u r a	Real
k w a sh a r a	Real
k w a sh a r i k a	Real
k w a sh u dz a	Real
k w a sh u k a	Real
k w a sh u r a	Real
k w a sv a	Real
k w a sv a i dz a	Real
k w a sv a t i dz a	Real
k w a sv a t i k a	Real
k w a sv a t i k a	Real
k w a t a	Real
k w a t a	Real
k w a t a i dz a	Real
k w a t a i k a	Real
k w a t a i r a	Real
k w a t a k w a dz a	Real
k w a t a m a	Real
k w a t a n u dz a	Real
k w a t a n u k a	Real
k w a t a n u r a	Real
k w a t a r i dz a	Real
k w a t a r i dz a	Real
k w a t a r i t s a	Real
k w a t i k a	Real
k w a t s a m u r a	Real
k w a t s u dz a	Real
k w a t s u r a	Real
k w a t u k a	Real
k w a t u r a	Real
k w a u k a	Real
k w a u k a	Real
k w a u r a	Real
k w a u r a	Real
k w a v a i dz a	Real
k w a v a i k a	Real
k w a v a i r a	Real
k w a v a r a dz a	Real
k w a v a r i k a	Real
k w a y a	Real
k w a zh a	Real
k w a zh a m u dz a	Real
k w a zh a m u r a	Real
k w a zh a u dz a	Real
k w a zh a u k a	Real
k w a zh a u r a	Real
k w a zh u r a	Real
k w a z i s a	Real
k w a z u dz a	Real
k w a z u k a	Real
k w a z u r a	Real
k w a zv u k a	Real
k w a zv u r a	Real
k w e b a i r a	Real
k w e b e d e dz a	Real
k w e b e d e k a	Real
k w e b u k a	Real
k w e bv e dz a	Real
k w e ch e r e dz a	Real
k w e ch e r e k a	Real
k w e ch u r a	Real
k w e d a i r a	Real
k w e d a i r a	Real
k w e d e b a dz a	Real
k w e d e b a r a	Real
k w e d e b u dz a	Real
k w e d e b u k a	Real
k w e d e b u r a	Real
k w e d e k e r a	Real
k w e d e y e k a	Real
k w e d u dz a	Real
k w e d u k a	Real
k w e d u r a	Real
k w e dz a	Real
k w e dzv a i dz a	Real
k w e dzv a i k a	Real
k w e dzv a i r a	Real
k w e g u dz a	Real
k w e g u r a	Real
k w e k w e dz a	Real
k w e k w e m a dz a	Real
k w e k w e m a r a	Real
k w e k w e r a	Real
k w e k w e r e dz a	Real
k w e k w e r e dz a	Real
k w e k w e r e k a	Real
k w e k w e r e k a	Real
k w e k w e r e t s a	Real
k w e k w e sh e k a	Real
k w e k w e t a	Real
k w e k w e t u dz a	Real
k w e k w e t u k a	Real
k w e k w e t u r a	Real
k w e m b e t a	Real
k w e n a	Real
k w e n d u r a	Real
k w e n e N g e dz a	Real
k w e n e N g e r a	Real
k w e n e n zv a	Real
k w e N g a	Real
k w e N g e n e dz a	Real
k w e N g e r e dz a	Real
k w e N g u dz a	Real
k w e N g u r a	Real
k w e n h a i dz a	Real
k w e n h a i r a	Real
k w e n j a i r a	Real
k w e n j e dz a	Real
k w e n j e r a	Real
k w e n j e r e dz a	Real
k w e n j e r e k a	Real
k w e n y a	Real
k w e n y e dz e r a	Real
k w e n y e r a	Real
k w e n y e z e r a	Real
k w e n z e dz a	Real
k w e n z e r a	Real
k w e p a	Real
k w e r a	Real
k w e r e k w e sh a	Real
k w e r e k w e sh e dz a	Real
k w e r e k w e sh e k a	Real
k w e r e N g a	Real
k w e r e n zv a	Real
k w e r e p u k a	Real
k w e r e t a	Real
k w e r e v a dz a	Real
k w e r e v e k a	Real
k w e s a	Real
k w e s e k a	Real
k w e s e r a	Real
k w e s e r e dz a	Real
k w e s e r e k a	Real
k w e sh a	Real
k w e sh a i r a	Real
k w e sh e n a	Real
k w e sv a k a	Real
k w e sv e N g a	Real
k w e sv e N g e k a	Real
k w e t a	Real
k w e t a	Real
k w e t e k w e dz a	Real
k w e t s a	Real
k w e t s e m u r a	Real
k w e t s e n y u k a	Real
k w e t s e n y u r a	Real
k w e t s e r a	Real
k w e t s u dz a	Real
k w e t s u k a	Real
k w e t s u r a	Real
k w e t u dz a	Real
k w e t u r a	Real
k w e u r a	Real
k w e v a	Real
k w e v a r i k a	Real
k w e y a	Real
k w e y a i dz a	Real
k w e y a i k a	Real
k w e y a i r a	Real
k w e z e a i r a	Real
k w e zv a	Real
k w i b u k a	Real
k w i b u t s a	Real
k w i bv u dz a	Real
k w i bv u k a	Real
k w i bv u r a	Real
k w i ch a	Real
k w i d a i r a	Real
k w i d i b a	Real
k w i d i b i dz a	Real
k w i d i b i k a	Real
k w i d i b i r a	Real
k w i dz a	Real
k w i g a	Real
k w i k a	Real
k w i k w i dz a	Real
k w i k w i m b u dz a	Real
k w i k w i m b u k a	Real
k w i k w i m b u r a	Real
k w i k w i N g a	Real
k w i m b u k a	Real
k w i m b u r a	Real
k w i n a r a	Real
k w i n b a	Real
k w i n d i dz a	Real
k w i n d i m a dz a	Real
k w i n d i m a r a	Real
k w i n d i N g w i k a	Real
k w i N g a	Real
k w i n u dz a	Real
k w i n u k a	Real
k w i n y a	Real
k w i n y a	Real
k w i n y a i dz a	Real
k w i n y a i k a	Real
k w i n y a i r a	Real
k w i n y a t a	Real
k w i p a dz a	Real
k w i p u k a	Real
k w i p u k a	Real
k w i p u r a	Real
k w i r i m b i t a	Real
k w i r i n d i n d i dz a	Real
k w i r i n d i n d i k a	Real
k w i r i zh i zh i k a	Real
k w i r u dz a	Real
k w i r u k a	Real
k w i sh u dz a	Real
k w i sh u k a	Real
k w i sh u r a	Real
k w i t i k w i dz a	Real
k w i t i k w i dz a	Real
k w i t i k w i t s a	Real
k w i t i k w i t s a	Real
k w i t i m a	Real
k w i t i r i dz a	Real
k w i t i r i k a	Real
k w i y a	Real
k w i zh a	Real
k w i zh i zh i k a	Real
k w i z u r a	Real
m a d u dz a	Real
m a d u k a	Real
m a i r a	Real
m a k a	Real
m a m a	Real
m a m a n y a dz a	Real
m a m a n y a r a	Real
m a m a n y i dz a	Real
m a m a sh i r a	Real
m a m a t a	Real
m a m a t a	Real
m a m a t a r a	Real
m a n a	Real
m a n a	Real
m a n d u t a	Real
m a N g a	Real
m a N g a	Real
m a N g a r a	Real
m a N g u dz a	Real
m a N g u k a	Real
m a N g u r a	Real
m a n i dz i r a	Real
m a n i j a	Real
m a n i k a	Real
m a n i k a	Real
m a n i k i dz a	Real
m a n i r a	Real
m a n u k a	Real
m a n u t s a	Real
m a n y a	Real
m a n y a	Real
m a n y a i dz a	Real
m a n y a N g i dz a	Real
m a n y a n i k a	Real
m a n y u dz a	Real
m a n y u k a	Real
m a n y u r a	Real
m a n y u t s a	Real
m a n z a	Real
m a n z u k a	Real
m a n z u r a	Real
m a pf u k a	Real
m a r a d u dz a	Real
m a r a d u k a	Real
m a r a d u r a	Real
m a r a dz a dz a	Real
m a r a dz u k a	Real
m a r a m a d a	Real
m a r a m a n y a	Real
m a r a m a t a	Real
m a r a m u dz a	Real
m a r a m u r a	Real
m a r a N g a dz a	Real
m a r a N g u r a	Real
m a r a n z a	Real
m a r a n z u r a	Real
m a r a z a	Real
m a r a z u dz a	Real
m a r a z u k a	Real
m a r a z u r a	Real
m a t a	Real
m b a	Real
m b a bv u k a	Real
m b a bv u r a	Real
m b a d i dz a	Real
m b a d i r a	Real
m b a d u dz a	Real
m b a d u k a	Real
m b a d u r a	Real
m b a dz a	Real
m b a m a dz a	Real
m b a m a u r a	Real
m b a m a z u r a	Real
m b a m b a	Real
m b a m b a dz a k a	Real
m b a m b a dz u r a	Real
m b a m b a n y a r a	Real
m b a m b a n y i dz a	Real
m b a m b a r i dz a	Real
m b a m b a sh i r a	Real
m b a m b a t i r a	Real
m b a m u dz a	Real
m b a m u r a	Real
m b a n d a r i dz a	Real
m b a n d a r i k a	Real
m b a n d i dz a	Real
m b a n d i dz i r a	Real
m b a n d i k a	Real
m b a n i k a	Real
m b a r a m b a dz a	Real
m b a r a N g a dz a	Real
m b a r a N g i dz a	Real
m b a r a t a	Real
m b a r i N g i dz a	Real
m b e f e r e k a	Real
m b e f u r a	Real
m b e m a	Real
m b e m b a	Real
m b e m u r a	Real
m b e N g u k a	Real
m b e N g u k a	Real
m b e N g u r a	Real
m b e r a i r a	Real
m b e r e r e dz a	Real
m b e r e r e k a	Real
m b e t e t e dz a	Real
m b e t u dz a	Real
m b e t u k a	Real
m b e t u r a	Real
m b e y a	Real
m b e y a i r a	Real
m b i d a i r a	Real
m b i d i g u r a	Real
m b i k i m a dz a	Real
m b i k i m a r a	Real
m b i k i t i dz a	Real
m b i k i t i k a	Real
m b i m b i dz a	Real
m b i n d i dz a	Real
m b i n d i k a	Real
m b i n d i r i dz a	Real
m b i n y u k a	Real
m b i n y u r a	Real
m b i r i k i t i dz a	Real
m b i r i k i t i k a	Real
m b i t u dz a	Real
m b i t u k a	Real
m b i t u r a	Real
m b i zh i zh i k a	Real
m b o g o k a	Real
m b o g o r a	Real
m b o m b a	Real
m b o m b e k a	Real
m b o m b e r a	Real
m b o m b o m a	Real
m b o m b o m e dz a	Real
m b o m b o m e k a	Real
m b o m b o v a	Real
m b o n a i dz a	Real
m b o n a i k a	Real
m b o n j o r a	Real
m b o n y e k e dz a	Real
m b o o z a	Real
m b o v e r a	Real
m b u f i u r a	Real
m b u m a	Real
m b u m a u r a	Real
m b u m b u dz a	Real
m b u m u dz a	Real
m b u m u k a	Real
m b u m u r a	Real
m b u m u z u r a	Real
m b u n d a	Real
m b u n d a	Real
m b u n d i r a	Real
m b u n d i sh i r a	Real
m b u N g a	Real
m b u n y i k i dz a	Real
m b u r a k u t i k a	Real
m b u r u k u t i dz a	Real
m b u r u m b u dz a	Real
m b u r u m b u k a	Real
m b u r u m b u n d i k a	Real
m b u r u m b u t s a	Real
m b u r u m b u zh a	Real
m b u r u N g u dz a	Real
m b u r u r u k a	Real
m b u s w a i dz a	Real
m b u s w a i r a	Real
m b u t s a i dz a	Real
m b u t s a i k a	Real
m b u t s a i r a	Real
m b u t s w a i dz a	Real
m b u t s w a i r a	Real
m b u t u m a r a	Real
m b u t u t i k a	Real
m b u w a i r a	Real
m b w a m b w a dz a	Real
m b w a m b w a dz a	Real
m b w a m b w a m a	Real
m b w a n d a	Real
m b w a n d a i dz a	Real
m b w a n d a i r a	Real
m b w a n d i r a	Real
m b w e dz a	Real
m b w e k a	Real
m b w e m b w e dz a	Real
m b w e m b w e r a	Real
m b w e n d a	Real
m b w e r a	Real
m b w e r e k e sh e dz a	Real
m b w e r e k e t e k a	Real
m b w e r e r e z a	Real
m b w e t a	Real
m b w i d a	Real
m b w i n d i r i dz a	Real
m b w i n d i r i k a	Real
m b w i r a	Real
m b w i r i m b w i dz a	Real
m b w i r i m b w i n d a	Real
m e ch e N g u dz a	Real
m e ch e N g u k a	Real
m e ch e N g u r a	Real
m e ch u k a	Real
m e ch u r a	Real
m e d u dz a	Real
m e d u k a	Real
m e d u r a	Real
m e dz a	Real
m e e dz a	Real
m e k a	Real
m e k e t e dz a	Real
m e k e t e k a	Real
m e m a	Real
m e m e dz a	Real
m e m e t e dz a	Real
m e m e t e k a	Real
m e m e u dz a	Real
m e m e u k a	Real
m e m e u r a	Real
m e n d a	Real
m e n y a	Real
m e n y e N g a k a	Real
m e n y e N g u dz a	Real
m e n y e N g u r a	Real
m e n y u k i r a	Real
m e pf a k a	Real
m e pf e n a r a	Real
m e pf e n u dz a	Real
m e pf u r a	Real
m e t e t e dz a	Real
m e t e t e k a	Real
m h a f a i r a	Real
m h a N g a	Real
m h a N g a	Real
m h a N g a r a	Real
m h a n h a r i dz a	Real
m h a n h a r i k a	Real
m h a n y a	Real
m h a n z a r a	Real
m h a r a	Real
m h a r a m a n y a	Real
m h a sh a i r a	Real
m h a sh a r a	Real
m h a sh u dz a	Real
m h a sh u k a	Real
m h a t a	Real
m h a u dz a	Real
m h a u k a	Real
